,frameType,packetNumber,OBCUpTime,obcT1,TXcurrent,RXcurrent,TempBatt,IMTQ_temp,tempP1,UTCTime
51,1.0,15063.0,15975.0,24.178759999999997,0.0,63.0,22.0,24.0,21.9921875,1509947766.0
52,1.0,15520.0,16446.0,24.178759999999997,375.0,63.0,22.0,24.5,21.9921875,1509949599.0
53,1.0,13752.0,14580.0,23.788849999999996,0.0,63.0,22.0,24.0,21.4921875,1510288888.0
54,1.0,14865.0,15762.0,24.568669999999997,377.0,63.0,22.0,24.0,21.7421875,1510293501.0
55,1.0,15240.0,16159.0,24.178759999999997,0.0,63.0,22.0,24.5,21.7421875,1510295057.0
56,1.0,14313.0,15176.0,23.788849999999996,377.0,63.0,22.0,24.0,21.4921875,1510291208.0
57,1.0,21798.0,23124.0,24.178759999999997,0.0,62.0,22.0,24.0,21.4921875,1575764908.0
58,1.0,787.0,833.0,23.009029999999996,0.0,63.0,21.0,23.0,21.4921875,1509618013.0
59,1.0,1134.0,1205.0,23.009029999999996,0.0,62.0,20.0,22.5,21.2421875,1509890060.0
60,1.0,1149.0,1221.0,22.619119999999995,0.0,62.0,20.0,22.5,21.2421875,1509890122.0
61,1.0,1164.0,1237.0,22.619119999999995,0.0,61.0,20.0,22.5,20.9921875,1509890184.0
62,1.0,1179.0,1253.0,23.009029999999996,0.0,62.0,20.0,22.5,20.9921875,1509890247.0
63,1.0,1194.0,1269.0,22.619119999999995,0.0,62.0,20.0,22.5,21.2421875,1509890309.0
64,1.0,13754.0,14582.0,23.788849999999996,376.0,63.0,22.0,24.0,21.4921875,1510288892.0
65,1.0,803.0,850.0,23.009029999999996,0.0,63.0,21.0,23.0,21.4921875,1509618080.0
66,1.0,13756.0,14585.0,23.788849999999996,0.0,63.0,22.0,24.0,21.4921875,1510288904.0
67,1.0,15067.0,15979.0,24.178759999999997,0.0,62.0,22.0,24.0,21.9921875,1509947782.0
68,1.0,15522.0,16448.0,24.178759999999997,0.0,63.0,22.0,24.5,21.9921875,1509949612.0
69,1.0,15567.0,16495.0,24.178759999999997,376.0,62.0,22.0,24.5,21.9921875,1509949793.0
70,1.0,15603.0,16529.0,24.178759999999997,0.0,71.0,22.0,24.5,21.7421875,1509949929.0
71,1.0,14389.0,15256.0,23.788849999999996,377.0,63.0,22.0,24.0,21.4921875,1510291523.0
72,1.0,14867.0,15764.0,24.178759999999997,0.0,63.0,22.0,24.0,21.7421875,1510293514.0
73,1.0,14315.0,15178.0,23.788849999999996,0.0,63.0,22.0,24.0,21.4921875,1510291222.0
74,1.0,848.0,898.0,23.009029999999996,0.0,62.0,21.0,23.0,21.4921875,1509618266.0
75,1.0,251.0,266.0,23.009029999999996,0.0,62.0,20.0,22.5,21.7421875,1577696301.0
76,1.0,3678.0,3902.0,22.619119999999995,0.0,62.0,20.0,22.5,20.9921875,1509900599.0
77,1.0,3708.0,3934.0,23.009029999999996,0.0,62.0,20.0,22.5,20.9921875,1509900722.0
78,1.0,15069.0,15982.0,24.178759999999997,377.0,63.0,22.0,24.0,21.9921875,1509947785.0
79,1.0,13758.0,14587.0,23.788849999999996,378.0,63.0,22.0,24.0,21.4921875,1510288907.0
80,1.0,14869.0,15767.0,23.788849999999996,376.0,63.0,22.0,24.0,21.7421875,1510293517.0
81,1.0,15242.0,16162.0,24.178759999999997,377.0,63.0,22.0,24.5,21.7421875,1510295060.0
82,1.0,14317.0,15180.0,24.178759999999997,376.0,63.0,22.0,24.0,21.4921875,1510291225.0
83,1.0,863.0,914.0,23.009029999999996,0.0,62.0,21.0,23.0,21.4921875,1509618328.0
84,1.0,4011.0,4255.0,23.009029999999996,0.0,62.0,20.0,22.5,20.9921875,1509901976.0
85,1.0,4027.0,4272.0,22.619119999999995,0.0,62.0,20.0,22.5,20.9921875,1509902043.0
86,1.0,4042.0,4288.0,22.619119999999995,0.0,62.0,20.0,22.5,20.9921875,1509902104.0
87,1.0,4057.0,4304.0,23.009029999999996,0.0,62.0,20.0,22.5,20.9921875,1509902167.0
88,1.0,15071.0,15984.0,24.178759999999997,0.0,63.0,22.0,24.0,22.2421875,1509947799.0
89,1.0,15524.0,16450.0,24.178759999999997,256.0,62.0,22.0,24.5,21.9921875,1509949615.0
90,1.0,15569.0,16498.0,24.178759999999997,0.0,63.0,22.0,24.5,21.9921875,1509949807.0
91,1.0,6282.0,6653.0,24.568669999999997,0.0,62.0,22.0,24.5,22.2421875,1510224807.0
92,1.0,955.0,1011.0,23.009029999999996,0.0,62.0,21.0,23.0,21.4921875,1509618709.0
